HexIndex,HexName,Palace,LineNum(1=bottom),Stem,Branch,Element,SixRel(日干=木)
35,晉,乾,4,己,酉,金,官鬼
35,晉,乾,5,己,未,土,妻財
35,晉,乾,6,己,巳,火,子孫
36,明夷,坎,1,己,卯,木,兄弟
36,明夷,坎,2,己,丑,土,妻財
36,明夷,坎,3,己,亥,水,父母
36,明夷,坎,4,癸,丑,土,妻財
36,明夷,坎,5,癸,亥,水,父母
36,明夷,坎,6,癸,酉,金,官鬼
37,家人,巽,1,己,卯,木,兄弟
37,家人,巽,2,己,丑,土,妻財
37,家人,巽,3,己,亥,水,父母
37,家人,巽,4,辛,未,土,妻財
37,家人,巽,5,辛,巳,火,子孫
37,家人,巽,6,辛,卯,木,兄弟
38,睽,艮,1,丁,巳,火,子孫
38,睽,艮,2,丁,卯,木,兄弟
38,睽,艮,3,丁,丑,土,妻財
38,睽,艮,4,己,酉,金,官鬼
38,睽,艮,5,己,未,土,妻財
38,睽,艮,6,己,巳,火,子孫
39,蹇,兌,1,丙,辰,土,妻財
39,蹇,兌,2,丙,午,火,子孫
39,蹇,兌,3,丙,申,金,官鬼
39,蹇,兌,4,戊,申,金,官鬼
39,蹇,兌,5,戊,戌,土,妻財
39,蹇,兌,6,戊,子,水,父母
40,解,震,1,戊,寅,木,兄弟
40,解,震,2,戊,辰,土,妻財
40,解,震,3,戊,午,火,子孫
40,解,震,4,庚,午,火,子孫
40,解,震,5,庚,申,金,官鬼
40,解,震,6,庚,戌,土,妻財
41,損,艮,1,丁,巳,火,子孫
41,損,艮,2,丁,卯,木,兄弟
41,損,艮,3,丁,丑,土,妻財
41,損,艮,4,丙,戌,土,妻財
41,損,艮,5,丙,子,水,父母
41,損,艮,6,丙,寅,木,兄弟
42,益,巽,1,庚,子,水,父母
42,益,巽,2,庚,寅,木,兄弟
42,益,巽,3,庚,辰,土,妻財
42,益,巽,4,辛,未,土,妻財
42,益,巽,5,辛,巳,火,子孫
42,益,巽,6,辛,卯,木,兄弟
43,夬,坤,1,甲,子,水,父母
43,夬,坤,2,甲,寅,木,兄弟
43,夬,坤,3,甲,辰,土,妻財
43,夬,坤,4,丁,亥,水,父母
43,夬,坤,5,丁,酉,金,官鬼
43,夬,坤,6,丁,未,土,妻財
44,姤,乾,1,辛,丑,土,妻財
44,姤,乾,2,辛,亥,水,父母
44,姤,乾,3,辛,酉,金,官鬼
44,姤,乾,4,壬,午,火,子孫
44,姤,乾,5,壬,申,金,官鬼
44,姤,乾,6,壬,戌,土,妻財
45,萃,兌,1,乙,未,土,妻財
45,萃,兌,2,乙,巳,火,子孫
45,萃,兌,3,乙,卯,木,兄弟
45,萃,兌,4,丁,亥,水,父母
45,萃,兌,5,丁,酉,金,官鬼
45,萃,兌,6,丁,未,土,妻財
46,升,震,1,辛,丑,土,妻財
46,升,震,2,辛,亥,水,父母
46,升,震,3,辛,酉,金,官鬼
46,升,震,4,癸,丑,土,妻財
46,升,震,5,癸,亥,水,父母
46,升,震,6,癸,酉,金,官鬼
47,困,兌,1,戊,寅,木,兄弟
47,困,兌,2,戊,辰,土,妻財
47,困,兌,3,戊,午,火,子孫
47,困,兌,4,丁,亥,水,父母
47,困,兌,5,丁,酉,金,官鬼
47,困,兌,6,丁,未,土,妻財
48,井,震,1,辛,丑,土,妻財
48,井,震,2,辛,亥,水,父母
48,井,震,3,辛,酉,金,官鬼
48,井,震,4,戊,申,金,官鬼
48,井,震,5,戊,戌,土,妻財
48,井,震,6,戊,子,水,父母
49,革,坎,1,己,卯,木,兄弟
49,革,坎,2,己,丑,土,妻財
49,革,坎,3,己,亥,水,父母
49,革,坎,4,丁,亥,水,父母
49,革,坎,5,丁,酉,金,官鬼
49,革,坎,6,丁,未,土,妻財
50,鼎,離,1,辛,丑,土,妻財
50,鼎,離,2,辛,亥,水,父母
50,鼎,離,3,辛,酉,金,官鬼
50,鼎,離,4,己,酉,金,官鬼
50,鼎,離,5,己,未,土,妻財
50,鼎,離,6,己,巳,火,子孫
51,震,震,1,庚,子,水,父母
51,震,震,2,庚,寅,木,兄弟
51,震,震,3,庚,辰,土,妻財
51,震,震,4,庚,午,火,子孫
51,震,震,5,庚,申,金,官鬼
51,震,震,6,庚,戌,土,妻財
52,艮,艮,1,丙,辰,土,妻財
52,艮,艮,2,丙,午,火,子孫
52,艮,艮,3,丙,申,金,官鬼
52,艮,艮,4,丙,戌,土,妻財
52,艮,艮,5,丙,子,水,父母
52,艮,艮,6,丙,寅,木,兄弟
53,漸,艮,1,丙,辰,土,妻財
53,漸,艮,2,丙,午,火,子孫
53,漸,艮,3,丙,申,金,官鬼
53,漸,艮,4,辛,未,土,妻財
53,漸,艮,5,辛,巳,火,子孫
53,漸,艮,6,辛,卯,木,兄弟
54,歸妹,兌,1,丁,巳,火,子孫
54,歸妹,兌,2,丁,卯,木,兄弟
54,歸妹,兌,3,丁,丑,土,妻財
54,歸妹,兌,4,庚,午,火,子孫
54,歸妹,兌,5,庚,申,金,官鬼
54,歸妹,兌,6,庚,戌,土,妻財
55,豐,坎,1,己,卯,木,兄弟
55,豐,坎,2,己,丑,土,妻財
55,豐,坎,3,己,亥,水,父母
55,豐,坎,4,庚,午,火,子孫
55,豐,坎,5,庚,申,金,官鬼
55,豐,坎,6,庚,戌,土,妻財
56,旅,離,1,丙,辰,土,妻財
56,旅,離,2,丙,午,火,子孫
56,旅,離,3,丙,申,金,官鬼
56,旅,離,4,己,酉,金,官鬼
56,旅,離,5,己,未,土,妻財
56,旅,離,6,己,巳,火,子孫
57,巽,巽,1,辛,丑,土,妻財
57,巽,巽,2,辛,亥,水,父母
57,巽,巽,3,辛,酉,金,官鬼
